fecha,provincia,casos_total,casos_nuevos,muertes_total,muertes_nuevos,observaciones
2020-03-05,CABA,1,1,0,0,El caso es importado
2020-03-06,CABA,2,1,0,0,El nuevo caso es importado
2020-03-07,Buenos Aires,1,1,0,0,
2020-03-07,CABA,8,6,0,0,
2020-03-08,Buenos Aires,2,1,0,0,El nuevo caso es importado
2020-03-08,CABA,10,2,0,0,Los dos casos con importados
2020-03-09,Buenos Aires,2,0,0,0,
2020-03-09,CABA,11,1,1,1,El caso es importado
2020-03-09,Chaco,2,2,0,0,Los 2 casos son importados
2020-03-09,Río Negro,1,1,0,0,
2020-03-09,San Luis,1,1,0,0,
2020-03-10,Buenos Aires,3,1,0,0,El nuevo caso es importado
2020-03-10,CABA,12,1,1,0,El caso es importado
2020-03-10,Chaco,2,0,0,0,
2020-03-10,Río Negro,1,0,0,0,
2020-03-10,San Luis,1,0,0,0,
2020-03-11,Buenos Aires,4,1,0,0,El nuevo caso es importado
2020-03-11,CABA,13,1,1,0,El caso es importado
2020-03-11,Chaco,2,0,0,0,
2020-03-11,Río Negro,1,0,0,0,
2020-03-11,San Luis,1,0,0,0,
2020-03-12,Buenos Aires,7,3,0,0,
2020-03-12,CABA,16,3,1,0,
2020-03-12,Chaco,4,2,0,0,
2020-03-12,Córdoba,2,2,0,0,
2020-03-12,Río Negro,1,0,0,0,
2020-03-12,San Luis,1,0,0,0,
2020-03-13,Buenos Aires,8,1,0,0,
2020-03-13,CABA,18,2,1,0,
2020-03-13,Chaco,4,0,1,1,
2020-03-13,Córdoba,2,0,0,0,
2020-03-13,Río Negro,1,0,0,0,
2020-03-13,San Luis,1,0,0,0,
2020-03-14,Buenos Aires,11,3,0,0,
2020-03-14,CABA,21,3,1,0,
2020-03-14,Chaco,7,3,1,0,
2020-03-14,Córdoba,2,0,0,0,
2020-03-14,Río Negro,1,0,0,0,
2020-03-14,San Luis,1,0,0,0,
2020-03-14,Santa Fe,2,2,0,0,
2020-03-15,Buenos Aires,12,1,0,0,
2020-03-15,CABA,27,6,1,0,
2020-03-15,Chaco,9,2,1,0,
2020-03-15,Córdoba,2,0,0,0,
2020-03-15,Río Negro,1,0,0,0,
2020-03-15,San Luis,1,0,0,0,
2020-03-15,Santa Fe,2,0,0,0,
2020-03-15,Tierra del Fuego,2,2,0,0,
2020-03-16,Buenos Aires,13,1,0,0,
2020-03-16,CABA,32,5,1,0,Los 5 casos son importados
